,Country,Number of Death,lat,lon
0,Afghanistan,1595,33.93911,67.709953
1,Åland Islands,0,60.1995487,20.3711715
2,Albania,598,41.153332,20.168331
3,Algeria,2111,28.033886,1.659626
4,American Samoa,0,-14.270972,-170.132217
5,Andorra,75,42.546245,1.601554
6,Angola,315,-11.202692,17.873887
7,Anguilla,0,18.220554,-63.068615
8,Antarctica,0,-75.250973,-0.071389
9,Antigua and Barbuda,3,17.060816,-61.796428
10,Argentina,34782,-38.416097,-63.616672
11,Armenia,1697,40.069099,45.038189
12,Aruba,43,12.52111,-69.968338
13,Australia,907,-25.274398,133.775136
14,Austria,1608,47.516231,14.550072
15,Azerbaijan,905,40.143105,47.576927
16,Bahamas,155,25.03428,-77.39628
17,Bahrain,332,25.930414,50.637772
18,Bangladesh,6159,23.684994,90.356331
19,Barbados,7,13.193887,-59.543198
20,Belarus,1033,53.709807,27.953389
21,Belgium,13891,50.503887,4.469936
22,Belize,75,17.189877,-88.49765
23,Benin,43,9.30769,2.315834
24,Bermuda,9,32.321384,-64.75737
25,Bhutan,0,27.514162,90.433601
26,Bolivia,8825,-16.290154,-63.588653
27,"Bonaire, Sint Eustatius and Saba",3,12.1683718,-68.308183
28,Bosnia and Herzegovina,1750,43.915886,17.679076
29,Botswana,27,-22.328474,24.684866
30,Bouvet Island,0,-54.423199,3.413194
31,Brazil,164332,-14.235004,-51.92528
32,British Indian Ocean Territory,0,-6.343194,71.876519
33,British Virgin Islands,3,18.420695,-64.639968
34,Brunei,3,4.535277,114.727669
35,Bulgaria,1970,42.733883,25.48583
36,Burkina Faso,67,12.238333,-1.561593
37,Burundi,1,-3.373056,29.918886
38,Cabo Verde,102,16.002082,-24.013197
39,Cambodia,0,12.565679,104.990963
40,Cameroon,433,7.369722,12.354722
41,Canada,10827,56.130366,-106.346771
42,CAR,62,6.611111,20.939444
43,Cayman Islands,1,19.513469,-80.566956
44,Chad,100,15.454166,18.732207
45,Channel Islands,48,49.372284,-2.364351
46,Chile,14699,-35.675147,-71.542969
47,China,4634,35.86166,104.195397
48,Christmas Island,0,-10.447525,105.690449
49,Cocos (Keeling) Islands,0,-12.164165,96.870956
50,Colombia,33491,4.570868,-74.297333
51,Comoros,7,-11.875001,43.872219
52,Congo,114,-0.228021,15.827659
53,Cook Islands,0,-21.236736,-159.777671
54,Costa Rica,1527,9.748917,-83.753428
55,Croatia,968,45.1,15.2
56,Cuba,131,21.521757,-77.781167
57,Curaçao,2,12.16957,-68.990021
58,Cyprus,35,35.126413,33.429859
59,Czech Republic,5755,49.817492,15.472962
60,Denmark,755,56.26392,9.501785
61,Diamond Princess,13,,
62,Djibouti,61,11.825138,42.590275
63,Dominica,0,15.414999,-61.370976
64,Dominican Republic,2274,18.735693,-70.162651
65,DRC,318,-4.038333,21.758664
66,Ecuador,12946,-1.831239,-78.183406
67,Egypt,6417,26.820553,30.802498
68,El Salvador,1033,13.794185,-88.89653
69,Equatorial Guinea,85,1.650801,10.267895
70,Eritrea,0,15.179384,39.782334
71,Estonia,80,58.595272,25.013607
72,Eswatini,117,-26.522503,31.465866
73,Ethiopia,1554,9.145,40.489673
74,Faeroe Islands,0,61.892635,-6.911806
75,Falkland Islands,0,-51.796253,-59.523613
76,Fiji,2,-16.578193,179.414413
77,Finland,369,61.92411,25.748151
78,France,42960,46.227638,2.213749
79,French Guiana,70,3.933889,-53.125782
80,French Polynesia,52,-17.679742,-149.406843
81,French Southern Territories,0,-49.280366,69.348557
82,Gabon,57,-0.803689,11.609444
83,Gambia,122,13.443182,-15.310139
84,Georgia,636,42.315407,43.356892
85,Germany,12276,51.165691,10.451526
86,Ghana,320,7.946527,-1.023194
87,Gibraltar,1,36.137741,-5.345374
88,Greece,959,39.074208,21.824312
89,Greenland,1,71.706936,-42.604303
90,Grenada,0,12.262776,-61.604171
91,Guadeloupe,139,16.995971,-62.067641
92,Guam,5,13.444304,144.793731
93,Guatemala,3858,15.783471,-90.230759
94,Guernsey,9,49.465691,-2.585278
95,Guinea,74,9.945587,-9.696645
96,Guinea-Bissau,43,11.803749,-15.180413
97,Guyana,138,4.860416,-58.93018
98,Haiti,232,18.971187,-72.285215
99,Heard Island and Mcdonald Islands,0,-53.08181,73.504158
100,Honduras,2804,15.199999,-86.241905
101,Hong Kong,108,22.396428,114.109497
102,Hungary,2883,47.162494,19.503304
103,Iceland,25,64.963051,-19.020835
104,India,128722,20.593684,78.96288
105,Indonesia,15037,-0.789275,113.921327
106,Iran,40582,32.427908,53.688046
107,Iraq,11532,33.223191,43.679291
108,Ireland,1965,53.41291,-8.24389
109,Isle of Man,25,54.236107,-4.548056
110,Israel,2706,31.046051,34.851612
111,Italy,43589,41.87194,12.56738
112,Ivory Coast,127,7.539989,-5.54708
113,Jamaica,225,18.109581,-77.297508
114,Japan,1851,36.204824,138.252924
115,Jersey,12,49.214439,-2.13125
116,Jordan,1547,30.585164,36.238414
