,Country,Number of Death,lat,lon,index,CODE,Country_x,Country_y,ISO3_Code,PopTotal
0,Afghanistan,1595,33.93911,67.709953,1.0,AFG,Afghanistan,Afghanistan,AFG,38041757.0
2,Albania,598,41.153332,20.168331,5.0,ALB,Albania,Albania,ALB,2880913.0
3,Algeria,2111,28.033886,1.659626,57.0,DZA,Algeria,Algeria,DZA,43053054.0
4,American Samoa,0,-14.270972,-170.132217,11.0,ASM,American Samoa,American Samoa,ASM,55312.0
5,Andorra,75,42.546245,1.601554,6.0,AND,Andorra,Andorra,AND,77146.0
6,Angola,315,-11.202692,17.873887,3.0,AGO,Angola,Angola,AGO,31825299.0
7,Anguilla,0,18.220554,-63.068615,4.0,AIA,Anguilla,Anguilla,AIA,14872.0
9,Antigua and Barbuda,3,17.060816,-61.796428,12.0,ATG,Antigua and Barbuda,Antigua and Barbuda,ATG,97115.0
10,Argentina,34782,-38.416097,-63.616672,9.0,ARG,Argentina,Argentina,ARG,44780675.0
11,Armenia,1697,40.069099,45.038189,207.0,ARM,Armenia,Armenia,ARM,2957728.0
12,Aruba,43,12.52111,-69.968338,0.0,ABW,Aruba,Aruba,ABW,106310.0
13,Australia,907,-25.274398,133.775136,13.0,AUS,Australia,Australia,AUS,25203200.0
14,Austria,1608,47.516231,14.550072,14.0,AUT,Austria,Austria,AUT,8955108.0
15,Azerbaijan,905,40.143105,47.576927,208.0,AZE,Azerbaidjan,Azerbaijan,AZE,10047719.0
16,Bahamas,155,25.03428,-77.39628,22.0,BHS,Bahamas,Bahamas,BHS,389486.0
17,Bahrain,332,25.930414,50.637772,21.0,BHR,Bahrain,Bahrain,BHR,1641164.0
18,Bangladesh,6159,23.684994,90.356331,19.0,BGD,Bangladesh,Bangladesh,BGD,163046173.0
19,Barbados,7,13.193887,-59.543198,27.0,BRB,Barbados,Barbados,BRB,287020.0
20,Belarus,1033,53.709807,27.953389,209.0,BLR,Belarus,Belarus,BLR,9452409.0
21,Belgium,13891,50.503887,4.469936,16.0,BEL,Belgium,Belgium,BEL,11539326.0
22,Belize,75,17.189877,-88.49765,23.0,BLZ,Belize,Belize,BLZ,390351.0
23,Benin,43,9.30769,2.315834,17.0,BEN,Benin,Benin,BEN,11801151.0
24,Bermuda,9,32.321384,-64.75737,24.0,BMU,Bermuda,Bermuda,BMU,62508.0
25,Bhutan,0,27.514162,90.433601,29.0,BTN,Bhutan,Bhutan,BTN,763093.0
26,Bolivia,8825,-16.290154,-63.588653,25.0,BOL,Bolivia,Bolivia,BOL,11513101.0
28,Bosnia and Herzegovina,1750,43.915886,17.679076,71.0,BIH,Bosnia-Herzegovina,Bosnia and Herzegovina,BIH,3300998.0
29,Botswana,27,-22.328474,24.684866,30.0,BWA,Botswana,Botswana,BWA,2303703.0
31,Brazil,164332,-14.235004,-51.92528,26.0,BRA,Brazil,Brazil,BRA,211049518.0
33,British Virgin Islands,3,18.420695,-64.639968,225.0,VGB,British Virgin Islands,British Virgin Islands,VGB,30033.0
34,Brunei,3,4.535277,114.727669,28.0,BRN,Brunei Darussalam,Brunei,BRN,433296.0
35,Bulgaria,1970,42.733883,25.48583,20.0,BGR,Bulgaria,Bulgaria,BGR,7000116.0
36,Burkina Faso,67,12.238333,-1.561593,18.0,BFA,Burkina Faso,Burkina Faso,BFA,20321383.0
37,Burundi,1,-3.373056,29.918886,15.0,BDI,Burundi,Burundi,BDI,11530577.0
38,Cabo Verde,102,16.002082,-24.013197,44.0,CPV,Cape Verde,Cabo Verde,CPV,549936.0
39,Cambodia,0,12.565679,104.990963,106.0,KHM,Cambodia,Cambodia,KHM,16486542.0
40,Cameroon,433,7.369722,12.354722,38.0,CMR,Cameroon,Cameroon,CMR,25876387.0
41,Canada,10827,56.130366,-106.346771,32.0,CAN,Canada,Canada,CAN,37411038.0
