,country_id,success,Health_Spending,Hospital_bed,Hospital_stay,Life_expectancy,Unemployment_rate,Obesity_rate,transporation,poverty_rate,science_score
0,13,successful,5187.419,3.84,4.1,82.8,23.924576853832303,56.400000000000006,17585.947168902,0.124,503.0
1,14,not successful,5851.055,7.27,6.3,81.8,25.1328403692699,46.7,13350.0,0.094,490.0
2,16,not successful,5427.956999999999,5.58,6.6,81.7,43.510715114450704,52.349999999999994,10167.0,0.10099999999999999,499.0
3,32,not successful,5418.383000000001,2.52,7.5,82.0,8.49004428726433,53.8,1685.0,0.121,518.0
4,47,not successful,3426.039,6.62,5.8,79.1,30.2626266216063,55.4,10930.618,0.055999999999999994,497.0
5,55,not successful,5567.899,2.6,3.5,81.0,16.6137459505713,51.0,6653.0,0.057999999999999996,493.0
6,210,successful,2578.7929999999997,4.57,6.1,78.4,19.9891205645683,50.7,392.0,0.158,530.0
7,65,successful,4578.42,3.61,6.4,81.8,18.4881801275982,57.0,4924.0,0.065,522.0
8,68,not successful,5375.6990000000005,5.91,5.4,82.8,38.833126711171204,49.0,112614.0,0.081,493.0
9,52,not successful,6645.757,8.0,7.5,81.0,38.133482100220704,52.7,98161.0,0.10400000000000001,503.0
10,84,successful,2383.6279999999997,4.2,5.6,81.9,70.1385816926822,55.0,1252.0,0.126,452.0
11,92,not successful,2222.426,7.01,5.4,76.2,32.8483784685415,58.4,7751.606,0.08,481.0
12,96,not successful,5275.543000000001,2.97,5.9,82.3,33.2762818095593,61.0,2399.0,0.09,496.0
13,100,not successful,2932.461,2.98,5.0,82.9,5.71224542297946,50.1,3579.9,0.16899999999999998,462.0
14,101,not successful,3649.2059999999997,3.14,7.0,83.4,57.0239432964322,46.1,56586.0,0.139,468.0
15,104,successful,4822.812,12.98,16.1,84.2,32.2981366459627,26.7,441614.0,0.157,529.0
16,215,successful,1972.5720000000001,5.49,6.0,74.9,38.1795852900334,58.7,643.0,0.166,487.0
17,214,successful,2638.133,6.43,6.5,75.8,30.630810993043,53.3,479.0,0.17300000000000001,482.0
18,121,not successful,5558.321999999999,4.26,7.6,82.4,22.774901700708398,53.05,463.0,0.122,477.0
19,146,not successful,5765.098000000001,3.17,5.1,81.9,31.365310444830104,48.5,22600.0,0.083,503.0
20,151,successful,4203.9890000000005,2.57,5.0,81.8,12.5693161990026,65.1,321.0,0.109,508.0
21,148,successful,6646.713000000001,3.53,6.0,82.8,24.134181395123502,46.0,3715.0,0.084,490.0
22,162,not successful,2292.146,6.54,6.5,77.7,21.5571675545571,53.3,22056.0,0.096,511.0
23,164,not successful,3378.627,3.45,9.0,81.4,42.6081974288441,67.6,4964.014,0.107,492.0
24,217,not successful,1528.777,7.12,9.1,72.8,23.766047499518,47.7,133589.0,0.127,478.0
25,48,successful,2353.645,5.7,6.7,77.4,54.9580331447888,54.2,4093.0,0.073,464.0
26,74,not successful,3224.02,4.43,6.7,81.5,42.9598695576258,55.6,698.0,0.085,507.0
27,62,not successful,3616.4590000000003,2.97,6.0,83.5,37.8318521352302,53.0,28434.0,0.14800000000000002,483.0
28,184,not successful,5782.2919999999995,2.14,5.5,82.6,12.1084717021992,49.9,14617.207234121,0.08900000000000001,499.0
29,34,not successful,7732.411999999999,4.63,6.9,83.8,37.817026564858296,41.8,21737.0,0.092,495.0
30,198,not successful,1339.511,2.85,4.1,78.3,23.478066248880896,64.4,14259.0,0.172,468.0
31,77,not successful,4653.058,2.46,5.9,81.3,25.068089428359603,63.3,80526.378370105,0.11699999999999999,505.0
32,205,not successful,11071.715,2.87,5.5,78.7,12.6978836860523,66.2,32483.0,0.17800000000000002,502.0
